,cate,cate_flag,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,amount_7,amount_6,amount_5,amount_4,amount_3,amount_2,amount_1,wt_7,wt_6,wt_5,wt_4,wt_3,wt_2,wt_1,date
1197,冬瓜,14,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,437.39,636.8399999999998,675.6800000000002,939.6100000000004,566.11,856.7599999999999,597.81,62.28,94.82,96.08,156.46,107.52,124.1,131.86,2020-08-15
1223,冬瓜,14,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,636.8399999999998,675.6800000000002,939.6100000000004,566.11,856.7599999999999,597.81,513.2900000000002,94.82,96.08,156.46,107.52,124.1,131.86,67.12,2020-08-16
1249,冬瓜,14,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,675.6800000000002,939.6100000000004,566.11,856.7599999999999,597.81,513.2900000000002,795.4799999999998,96.08,156.46,107.52,124.1,131.86,67.12,146.14,2020-08-17
1275,冬瓜,14,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,939.6100000000004,566.11,856.7599999999999,597.81,513.2900000000002,795.4799999999998,342.0700000000001,156.46,107.52,124.1,131.86,67.12,146.14,63.8,2020-08-18
1301,冬瓜,14,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,566.11,856.7599999999999,597.81,513.2900000000002,795.4799999999998,342.0700000000001,512.2900000000002,107.52,124.1,131.86,67.12,146.14,63.8,70.56,2020-08-19
1327,冬瓜,14,6.00543269845328,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,856.7599999999999,597.81,513.2900000000002,795.4799999999998,342.0700000000001,512.2900000000002,444.75,124.1,131.86,67.12,146.14,63.8,70.56,58.96,2020-08-20
1353,冬瓜,14,5.265159970238095,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,597.81,513.2900000000002,795.4799999999998,342.0700000000001,512.2900000000002,444.75,678.4,131.86,67.12,146.14,63.8,70.56,58.96,112.62,2020-08-21
1379,冬瓜,14,6.903787268331988,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,513.2900000000002,795.4799999999998,342.0700000000001,512.2900000000002,444.75,678.4,562.83,67.12,146.14,63.8,70.56,58.96,112.62,81.54,2020-08-22
1405,冬瓜,14,4.533672076444714,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,795.4799999999998,342.0700000000001,512.2900000000002,444.75,678.4,562.83,724.5399999999997,146.14,63.8,70.56,58.96,112.62,81.54,116.92,2020-08-23
1431,冬瓜,14,7.6473480333730635,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,342.0700000000001,512.2900000000002,444.75,678.4,562.83,724.5399999999997,574.74,63.8,70.56,58.96,112.62,81.54,116.92,91.98,2020-08-24
1457,冬瓜,14,5.4432735732858895,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,512.2900000000002,444.75,678.4,562.83,724.5399999999997,574.74,521.45,70.56,58.96,112.62,81.54,116.92,91.98,97.9,2020-08-25
1483,冬瓜,14,5.361598746081507,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,444.75,678.4,562.83,724.5399999999997,574.74,521.45,613.82,58.96,112.62,81.54,116.92,91.98,97.9,97.14,2020-08-26
1509,冬瓜,14,7.260345804988662,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,5.411157416177306,678.4,562.83,724.5399999999997,574.74,521.45,613.82,571.3100000000002,112.62,81.54,116.92,91.98,97.9,97.14,105.58,2020-08-27
1535,冬瓜,14,7.543249660786973,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,5.411157416177306,5.903341514064564,562.83,724.5399999999997,574.74,521.45,613.82,571.3100000000002,625.3999999999999,81.54,116.92,91.98,97.9,97.14,105.58,105.94,2020-08-28
1561,冬瓜,14,6.023796838927367,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,5.411157416177306,5.903341514064564,6.837610619469028,724.5399999999997,574.74,521.45,613.82,571.3100000000002,625.3999999999999,463.59,116.92,91.98,97.9,97.14,105.58,105.94,67.8,2020-08-29
1587,冬瓜,14,6.9025018395879325,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,5.411157416177306,5.903341514064564,6.837610619469028,6.544641041285336,574.74,521.45,613.82,571.3100000000002,625.3999999999999,463.59,1287.1999999999996,91.98,97.9,97.14,105.58,105.94,67.8,196.68,2020-08-30
1613,冬瓜,14,6.1968867601778985,6.24853228962818,5.32635342185904,6.318921144739552,5.411157416177306,5.903341514064564,6.837610619469028,6.544641041285336,7.269450392576731,521.45,613.82,571.3100000000002,625.3999999999999,463.59,1287.1999999999996,407.38,97.9,97.14,105.58,105.94,67.8,196.68,56.04,2020-08-31
